Trade #,Type,Signal,Date/Time,Price INR,Contracts,Profit INR,Profit %,Cum. Profit INR,Cum. Profit %,Run-up INR,Run-up %,Drawdown INR,Drawdown %
61,Exit Short,L-Exit- Sell 47800 CE|Buy 48800 CE,2023-12-26 12:25,47794.40,1,-190.50,-0.4,2626.25,-0.02,10.10,0.02,190.50,0.4
61,Entry Short,Sell 47800 CE|Buy 48800 CE,2023-12-26 10:20,47603.90,1,-190.50,-0.4,2626.25,-0.02,10.10,0.02,190.50,0.4
62,Exit Short,L-Exit- Sell 48200 CE|Buy 49200 CE,2023-12-27 12:00,48165.45,1,-121.60,-0.25,2504.65,-0.01,14.05,0.03,129.90,0.27
62,Entry Short,Sell 48200 CE|Buy 49200 CE,2023-12-27 11:05,48043.85,1,-121.60,-0.25,2504.65,-0.01,14.05,0.03,129.90,0.27
63,Exit Short,L-Exit- Sell 48200 CE|Buy 49200 CE,2024-01-04 11:20,48158.95,1,-175.65,-0.37,2329.00,-0.02,41.90,0.09,197.95,0.41
63,Entry Short,Sell 48200 CE|Buy 49200 CE,2024-01-04 10:20,47983.30,1,-175.65,-0.37,2329.00,-0.02,41.90,0.09,197.95,0.41
64,Exit Short,X-Exit- Sell 48300 CE|Buy 49300 CE,2024-01-05 12:30,48137.00,1,-26.80,-0.06,2302.20,0,80.00,0.17,49.50,0.1
64,Entry Short,Sell 48300 CE|Buy 49300 CE,2024-01-05 10:50,48110.20,1,-26.80,-0.06,2302.20,0,80.00,0.17,49.50,0.1
65,Exit Short,X-Exit- Sell 48000 CE|Buy 49000 CE,2024-01-08 12:30,47774.90,1,-4.55,-0.01,2297.65,0,47.60,0.1,34.80,0.07
65,Entry Short,Sell 48000 CE|Buy 49000 CE,2024-01-08 11:55,47770.35,1,-4.55,-0.01,2297.65,0,47.60,0.1,34.80,0.07
66,Exit Short,X-Exit- Sell 47900 CE|Buy 48900 CE,2024-01-09 12:30,47831.45,1,-48.30,-0.1,2249.35,0,22.40,0.05,156.15,0.33
66,Entry Short,Sell 47900 CE|Buy 48900 CE,2024-01-09 10:20,47783.15,1,-48.30,-0.1,2249.35,0,22.40,0.05,156.15,0.33
67,Exit Short,X-Exit- Sell 47500 CE|Buy 48500 CE,2024-01-10 12:30,47275.95,1,83.00,0.18,2332.35,0.01,143.00,0.3,17.10,0.04
67,Entry Short,Sell 47500 CE|Buy 48500 CE,2024-01-10 10:20,47358.95,1,83.00,0.18,2332.35,0.01,143.00,0.3,17.10,0.04
68,Exit Short,X-Exit- Sell 47800 CE|Buy 48800 CE,2024-01-12 12:30,47666.35,1,-46.70,-0.1,2285.65,0,13.40,0.03,165.00,0.35
68,Entry Short,Sell 47800 CE|Buy 48800 CE,2024-01-12 10:20,47619.65,1,-46.70,-0.1,2285.65,0,13.40,0.03,165.00,0.35
69,Exit Short,X-Exit- Sell 48400 CE|Buy 49400 CE,2024-01-16 12:30,48237.80,1,-20.65,-0.04,2265.00,0,39.85,0.08,88.25,0.18
69,Entry Short,Sell 48400 CE|Buy 49400 CE,2024-01-16 10:20,48217.15,1,-20.65,-0.04,2265.00,0,39.85,0.08,88.25,0.18
70,Exit Short,X-Exit- Sell 46300 CE|Buy 47300 CE,2024-01-19 12:30,45872.85,1,311.55,0.67,2576.55,0.03,343.45,0.74,21.20,0.05
70,Entry Short,Sell 46300 CE|Buy 47300 CE,2024-01-19 10:50,46184.40,1,311.55,0.67,2576.55,0.03,343.45,0.74,21.20,0.05
71,Exit Short,X-Exit- Sell 46200 CE|Buy 47200 CE,2024-01-23 12:30,45315.75,1,34.40,0.08,2610.95,0,260.55,0.57,40.05,0.09
71,Entry Short,Sell 46200 CE|Buy 47200 CE,2024-01-23 11:45,45350.15,1,34.40,0.08,2610.95,0,260.55,0.57,40.05,0.09
72,Exit Short,X-Exit- Sell 45900 CE|Buy 46900 CE,2024-01-24 12:30,44733.60,1,636.45,1.4,3247.40,0.06,732.30,1.61,115.45,0.25
72,Entry Short,Sell 45900 CE|Buy 46900 CE,2024-01-24 10:20,45370.05,1,636.45,1.4,3247.40,0.06,732.30,1.61,115.45,0.25
73,Exit Short,SL-Exit-Sell Sell 45000 CE|Buy 46000 CE,2024-01-25 11:40,44713.70,1,-122.65,-0.28,3124.75,-0.01,20.15,0.05,122.65,0.28
73,Entry Short,Sell 45000 CE|Buy 46000 CE,2024-01-25 10:55,44591.05,1,-122.65,-0.28,3124.75,-0.01,20.15,0.05,122.65,0.28
74,Exit Short,X-Exit- Sell 45000 CE|Buy 46000 CE,2024-01-25 12:30,44553.45,1,4.75,0.01,3129.50,0,52.90,0.12,63.55,0.14
74,Entry Short,Sell 45000 CE|Buy 46000 CE,2024-01-25 11:55,44558.20,1,4.75,0.01,3129.50,0,52.90,0.12,63.55,0.14
75,Exit Short,X-Exit- Sell 45700 CE|Buy 46700 CE,2024-01-29 12:30,45464.05,1,93.45,0.21,3222.95,0.01,234.15,0.51,102.85,0.23
75,Entry Short,Sell 45700 CE|Buy 46700 CE,2024-01-29 10:20,45557.50,1,93.45,0.21,3222.95,0.01,234.15,0.51,102.85,0.23
76,Exit Short,X-Exit- Sell 46300 CE|Buy 47300 CE,2024-01-31 12:30,45950.95,1,-134.35,-0.29,3088.60,-0.01,55.90,0.12,363.15,0.79
76,Entry Short,Sell 46300 CE|Buy 47300 CE,2024-01-31 10:20,45816.60,1,-134.35,-0.29,3088.60,-0.01,55.90,0.12,363.15,0.79
77,Exit Short,X-Exit- Sell 46100 CE|Buy 47100 CE,2024-02-08 12:30,45393.60,1,236.95,0.52,3325.55,0.02,403.35,0.88,2.90,0.01
77,Entry Short,Sell 46100 CE|Buy 47100 CE,2024-02-08 11:00,45630.55,1,236.95,0.52,3325.55,0.02,403.35,0.88,2.90,0.01
78,Exit Short,X-Exit- Sell 45700 CE|Buy 46700 CE,2024-02-09 12:30,45436.35,1,-168.25,-0.37,3157.30,-0.02,215.20,0.48,220.80,0.49
78,Entry Short,Sell 45700 CE|Buy 46700 CE,2024-02-09 10:20,45268.10,1,-168.25,-0.37,3157.30,-0.02,215.20,0.48,220.80,0.49
79,Exit Short,X-Exit- Sell 45800 CE|Buy 46800 CE,2024-02-13 12:30,45015.05,1,367.25,0.81,3524.55,0.04,389.45,0.86,79.65,0.18
79,Entry Short,Sell 45800 CE|Buy 46800 CE,2024-02-13 10:20,45382.30,1,367.25,0.81,3524.55,0.04,389.45,0.86,79.65,0.18
80,Exit Short,X-Exit- Sell 45500 CE|Buy 46500 CE,2024-02-14 12:30,45541.00,1,-215.30,-0.48,3309.25,-0.02,128.65,0.28,244.65,0.54
80,Entry Short,Sell 45500 CE|Buy 46500 CE,2024-02-14 10:20,45325.70,1,-215.30,-0.48,3309.25,-0.02,128.65,0.28,244.65,0.54
81,Exit Short,X-Exit- Sell 47200 CE|Buy 48200 CE,2024-02-20 12:30,46945.20,1,-52.25,-0.11,3257.00,-0.01,100.05,0.21,87.75,0.19
81,Entry Short,Sell 47200 CE|Buy 48200 CE,2024-02-20 10:20,46892.95,1,-52.25,-0.11,3257.00,-0.01,100.05,0.21,87.75,0.19
82,Exit Short,X-Exit- Sell 47300 CE|Buy 48300 CE,2024-02-23 12:30,47042.35,1,170.30,0.36,3427.30,0.02,360.85,0.76,32.70,0.07
82,Entry Short,Sell 47300 CE|Buy 48300 CE,2024-02-23 10:20,47212.65,1,170.30,0.36,3427.30,0.02,360.85,0.76,32.70,0.07
